127.0.0.1, 2018-04-24 22:55:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:12:24, GET, /admin/default/site, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-24 23:12:24, GET, /admin/default/site, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-04-24 23:12:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/default/index, HTTP/1.1, 200, 0.037000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 23:12:26, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2018-04-24 23:12:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:12:29, GET, /start/default/index, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-04-24 23:12:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:12:31, GET, /admin/default/site, HTTP/1.1, 200, 0.055000
127.0.0.1, 2018-04-24 23:12:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/default/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-04-24 23:12:33, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-24 23:12:36, GET, /examples/default/what, HTTP/1.1, 200, 0.436000
